"","date","count","lang","page","rank","month","title"
"26",2008-01-01,2602,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"28",2008-01-02,3236,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"27",2008-01-03,3163,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"23",2008-01-04,2796,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"22",2008-01-05,3030,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"25",2008-01-06,3078,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"24",2008-01-07,3053,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"30",2008-01-08,2672,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"29",2008-01-09,2483,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"8",2008-01-10,2321,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"9",2008-01-11,2526,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"6",2008-01-12,2720,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"7",2008-01-13,2936,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"4",2008-01-14,2889,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"5",2008-01-15,2459,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"2",2008-01-16,2347,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"3",2008-01-17,2245,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"10",2008-01-18,2329,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"11",2008-01-19,2341,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"21",2008-01-20,2673,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"20",2008-01-21,2910,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"19",2008-01-22,2534,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"18",2008-01-23,2168,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"17",2008-01-24,2049,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"16",2008-01-25,2188,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"15",2008-01-26,2299,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"14",2008-01-27,2612,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"13",2008-01-28,2785,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"12",2008-01-29,2441,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"1",2008-01-30,2348,"en","Aamir_Khan","1426","200801","Aamir_Khan"
"34",2008-02-01,2196,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"35",2008-02-02,2370,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"36",2008-02-03,3030,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"37",2008-02-04,2349,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"38",2008-02-05,2160,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"39",2008-02-06,2035,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"40",2008-02-07,2162,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"41",2008-02-08,2056,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"42",2008-02-09,2266,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"57",2008-02-10,2161,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"56",2008-02-11,2368,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"55",2008-02-12,2079,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"54",2008-02-13,2047,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"53",2008-02-14,1816,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"52",2008-02-15,2158,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"51",2008-02-16,2388,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"50",2008-02-17,2628,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"59",2008-02-18,2932,"en","Aamir_Khan","1426","200802","Aamir_Khan"
"58",2008-02-19,2191,"en","Aamir_Khan","1426","200802","Aamir_Khan"
