"","date","count","lang","page","rank","month","title"
"26",2008-01-01,2262,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"28",2008-01-02,2677,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"27",2008-01-03,2511,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"23",2008-01-04,2278,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"22",2008-01-05,2544,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"25",2008-01-06,2514,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"24",2008-01-07,2397,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"30",2008-01-08,2235,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"29",2008-01-09,2208,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"8",2008-01-10,2174,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"9",2008-01-11,2259,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"6",2008-01-12,2163,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"7",2008-01-13,2325,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"4",2008-01-14,2460,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"5",2008-01-15,2577,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"2",2008-01-16,2088,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"3",2008-01-17,2202,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"10",2008-01-18,2063,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"11",2008-01-19,2315,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"21",2008-01-20,2684,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"20",2008-01-21,2506,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"19",2008-01-22,2259,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"18",2008-01-23,2256,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"17",2008-01-24,2119,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"16",2008-01-25,2113,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"15",2008-01-26,2234,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"14",2008-01-27,2564,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"13",2008-01-28,2309,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"12",2008-01-29,2264,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"1",2008-01-30,2096,"en","Amitabh_Bachchan","2396","200801","Amitabh_Bachchan"
"34",2008-02-01,2261,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"35",2008-02-02,2162,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"36",2008-02-03,2394,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"37",2008-02-04,2492,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"38",2008-02-05,2386,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"39",2008-02-06,2187,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"40",2008-02-07,2079,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"41",2008-02-08,2159,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"42",2008-02-09,2276,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"57",2008-02-10,2454,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"56",2008-02-11,2544,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"55",2008-02-12,2353,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"54",2008-02-13,2267,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"53",2008-02-14,2330,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"52",2008-02-15,2257,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"51",2008-02-16,2299,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"50",2008-02-17,2502,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"59",2008-02-18,2707,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"58",2008-02-19,2250,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"47",2008-02-20,2182,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"48",2008-02-21,2350,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"45",2008-02-22,2503,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"46",2008-02-23,2877,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"43",2008-02-24,2550,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"44",2008-02-25,2491,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"32",2008-02-26,2097,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"49",2008-02-27,2036,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"31",2008-02-28,0,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"33",2008-02-29,2255,"en","Amitabh_Bachchan","2396","200802","Amitabh_Bachchan"
"76",2008-03-01,0,"en","Amitabh_Bachchan","2396","200803","Amitabh_Bachchan"
"75",2008-03-02,2346,"en","Amitabh_Bachchan","2396","200803","Amitabh_Bachchan"
"74",2008-03-03,0,"en","Amitabh_Bachchan","2396","200803","Amitabh_Bachchan"
"80",2008-03-04,0,"en","Amitabh_Bachchan","2396","200803","Amitabh_Bachchan"
"79",2008-03-05,2058,"en","Amitabh_Bachchan","2396","200803","Amitabh_Bachchan"
"78",2008-03-06,2199,"en","Amitabh_Bachchan","2396","200803","Amitabh_Bachchan"
"77",2008-03-07,2081,"en","Amitabh_Bachchan","2396","200803","Amitabh_Bachchan"
"73",2008-03-08,2196,"en","Amitabh_Bachchan","2396","200803","Amitabh_Bachchan"
"72",2008-03-09,2348,"en","Amitabh_Bachchan","2396","200803","Amitabh_Bachchan"
"64",2008-03-10,2376,"en","Amitabh_Bachchan","2396","200803","Amitabh_Bachchan"
