"","date","count","lang","page","rank","month","title"
"26",2008-01-01,860,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"28",2008-01-02,983,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"27",2008-01-03,988,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"23",2008-01-04,1007,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"22",2008-01-05,1023,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"25",2008-01-06,1085,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"24",2008-01-07,944,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"30",2008-01-08,997,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"29",2008-01-09,1011,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"8",2008-01-10,1100,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"9",2008-01-11,1120,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"6",2008-01-12,1076,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"7",2008-01-13,1222,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"4",2008-01-14,1162,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"5",2008-01-15,1188,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"2",2008-01-16,1022,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"3",2008-01-17,1049,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"10",2008-01-18,1070,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"11",2008-01-19,1094,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"21",2008-01-20,1408,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"20",2008-01-21,1321,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"19",2008-01-22,1171,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"18",2008-01-23,1083,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"17",2008-01-24,1155,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"16",2008-01-25,1063,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"15",2008-01-26,1101,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
"14",2008-01-27,1188,"en","Ajay_Devgan","7144","200801","Ajay_Devgan"
