"","date","count","lang","page","rank","month","title"
"26",2008-01-01,2680,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"28",2008-01-02,3211,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"27",2008-01-03,2961,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"23",2008-01-04,2805,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"22",2008-01-05,2882,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"25",2008-01-06,2670,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"24",2008-01-07,2595,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"30",2008-01-08,2255,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"29",2008-01-09,2434,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"8",2008-01-10,2323,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"9",2008-01-11,2309,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"6",2008-01-12,2510,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"7",2008-01-13,2873,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"4",2008-01-14,2280,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"5",2008-01-15,2176,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"2",2008-01-16,2036,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"3",2008-01-17,2137,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"10",2008-01-18,2201,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"11",2008-01-19,2259,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"21",2008-01-20,2356,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"20",2008-01-21,2310,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"19",2008-01-22,2232,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"18",2008-01-23,2107,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"17",2008-01-24,2062,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"16",2008-01-25,2246,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"15",2008-01-26,2219,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"14",2008-01-27,2522,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"13",2008-01-28,2533,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"12",2008-01-29,2072,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"1",2008-01-30,2102,"en","Akshay_Kumar","2585","200801","Akshay_Kumar"
"34",2008-02-01,1972,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"35",2008-02-02,2283,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"36",2008-02-03,2313,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"37",2008-02-04,2056,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"38",2008-02-05,2029,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"39",2008-02-06,1914,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"40",2008-02-07,1764,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"41",2008-02-08,2028,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"42",2008-02-09,2430,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"57",2008-02-10,2280,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"56",2008-02-11,2259,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"55",2008-02-12,2066,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"54",2008-02-13,2101,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"53",2008-02-14,1770,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"52",2008-02-15,1972,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"51",2008-02-16,2382,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"50",2008-02-17,2535,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"59",2008-02-18,2433,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"58",2008-02-19,2184,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"47",2008-02-20,2131,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"48",2008-02-21,2147,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"45",2008-02-22,2105,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"46",2008-02-23,2634,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"43",2008-02-24,3441,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"44",2008-02-25,2588,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"32",2008-02-26,2130,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"49",2008-02-27,2015,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
"31",2008-02-28,0,"en","Akshay_Kumar","2585","200802","Akshay_Kumar"
