"","date","count","lang","page","rank","month","title"
"26",2008-01-01,58,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"28",2008-01-02,94,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"27",2008-01-03,84,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"23",2008-01-04,75,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"22",2008-01-05,67,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"25",2008-01-06,90,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"24",2008-01-07,61,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"30",2008-01-08,58,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"29",2008-01-09,59,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"8",2008-01-10,101,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"9",2008-01-11,79,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"6",2008-01-12,72,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"7",2008-01-13,96,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"4",2008-01-14,51,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"5",2008-01-15,82,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"2",2008-01-16,59,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"3",2008-01-17,77,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"10",2008-01-18,62,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"11",2008-01-19,71,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"21",2008-01-20,84,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"20",2008-01-21,69,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"19",2008-01-22,59,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"18",2008-01-23,61,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"17",2008-01-24,90,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"16",2008-01-25,72,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"15",2008-01-26,66,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"14",2008-01-27,73,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"13",2008-01-28,70,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"12",2008-01-29,89,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"1",2008-01-30,72,"en","Hritik_Roshan","-1","200801","Hritik_Roshan"
"34",2008-02-01,87,"en","Hritik_Roshan","-1","200802","Hritik_Roshan"
"35",2008-02-02,49,"en","Hritik_Roshan","-1","200802","Hritik_Roshan"
"36",2008-02-03,83,"en","Hritik_Roshan","-1","200802","Hritik_Roshan"
