"","date","count","lang","page","rank","month","title"
"26",2008-01-01,702,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"28",2008-01-02,856,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"27",2008-01-03,741,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"23",2008-01-04,936,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"22",2008-01-05,869,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"25",2008-01-06,841,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"24",2008-01-07,792,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"30",2008-01-08,686,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"29",2008-01-09,654,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"8",2008-01-10,632,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"9",2008-01-11,672,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"6",2008-01-12,683,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"7",2008-01-13,750,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"4",2008-01-14,754,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"5",2008-01-15,713,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"2",2008-01-16,607,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"3",2008-01-17,541,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"10",2008-01-18,646,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"11",2008-01-19,609,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"21",2008-01-20,695,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"20",2008-01-21,684,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"19",2008-01-22,603,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"18",2008-01-23,516,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"17",2008-01-24,590,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"16",2008-01-25,528,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"15",2008-01-26,553,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"14",2008-01-27,642,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"13",2008-01-28,763,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"12",2008-01-29,609,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"1",2008-01-30,608,"en","Ranbir_Kapoor","2057","200801","Ranbir_Kapoor"
"34",2008-02-01,594,"en","Ranbir_Kapoor","2057","200802","Ranbir_Kapoor"
"35",2008-02-02,562,"en","Ranbir_Kapoor","2057","200802","Ranbir_Kapoor"
"36",2008-02-03,710,"en","Ranbir_Kapoor","2057","200802","Ranbir_Kapoor"
"37",2008-02-04,539,"en","Ranbir_Kapoor","2057","200802","Ranbir_Kapoor"
