"","date","count","lang","page","rank","month","title"
"26",2008-01-01,1959,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"28",2008-01-02,2228,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"27",2008-01-03,2198,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"23",2008-01-04,2118,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"22",2008-01-05,2155,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"25",2008-01-06,2247,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"24",2008-01-07,2214,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"30",2008-01-08,1791,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"29",2008-01-09,1750,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"8",2008-01-10,1609,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"9",2008-01-11,1823,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"6",2008-01-12,2199,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"7",2008-01-13,2217,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"4",2008-01-14,1926,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"5",2008-01-15,1658,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"2",2008-01-16,1707,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"3",2008-01-17,1747,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"10",2008-01-18,1853,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"11",2008-01-19,1954,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"21",2008-01-20,1981,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"20",2008-01-21,1992,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"19",2008-01-22,1911,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"18",2008-01-23,1864,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"17",2008-01-24,1598,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"16",2008-01-25,1676,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"15",2008-01-26,1880,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"14",2008-01-27,2872,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
"13",2008-01-28,3034,"en","Shahid_Kapoor","2950","200801","Shahid_Kapoor"
