"","date","count","lang","page","rank","month","title"
"26",2008-01-01,933,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"28",2008-01-02,1222,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"27",2008-01-03,1158,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"23",2008-01-04,1315,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"22",2008-01-05,1107,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"25",2008-01-06,1124,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"24",2008-01-07,1036,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"30",2008-01-08,911,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"29",2008-01-09,845,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"8",2008-01-10,880,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"9",2008-01-11,923,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"6",2008-01-12,1072,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"7",2008-01-13,1190,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"4",2008-01-14,1058,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"5",2008-01-15,1016,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"2",2008-01-16,921,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"3",2008-01-17,874,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"10",2008-01-18,886,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"11",2008-01-19,1002,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
"21",2008-01-20,1084,"en","Shah_Rukh%20Khan",-1,"200801","Shah_Rukh Khan"
